node,taxon,species,random,block_id,iteration,density,acc_ls,total_density,density_ratio,multi_sp,para
wnt,Vertebrate,MUSMU,observed,46,1,1.933357178071863e-06,"MUSMU_XP_006518993.1,MUSMU_XP_006518986.1,MUSMU_NP_033915.1",7.826959635252443e-06,0.247012539756059,WNTblock,not_para
wnt,Vertebrate,MUSMU,observed,47,1,7.47702217622469e-06,"MUSMU_XP_011239477.1,MUSMU_XP_006506301.1,MUSMU_NP_001028554.3,MUSMU_XP_030111179.1,MUSMU_NP_598701.2,MUSMU_NP_444434.2,MUSMU_NP_057927.1",7.826959635252443e-06,0.9552907546051926,WNTblock,not_para
wnt,Vertebrate,DANRE,observed,12,1,2.4696236293588858e-05,"DANRE_XP_009302617.1,DANRE_NP_001073303.1,DANRE_XP_021334189.1",1.574258300915885e-05,1.5687537603721624,WNTblock,not_para
wnt,Vertebrate,DANRE,observed,13,1,8.09829713057087e-06,"DANRE_NP_001314752.1,DANRE_XP_021330884.1,DANRE_NP_001015043.1,DANRE_XP_017210434.1",1.574258300915885e-05,0.5144198462132533,WNTblock,not_para
wnt,Vertebrate,CHEMY,observed,11,1,5.897342018807607e-06,"CHEMY_XP_027688761.1,CHEMY_XP_007070865.1,CHEMY_XP_027688740.1,CHEMY_XP_027688739.1,CHEMY_XP_007070891.1,CHEMY_XP_007070892.1,CHEMY_XP_027688745.1",8.653283012534948e-06,0.681514982263362,WNTblock,not_para
wnt,Vertebrate,CHEMY,observed,10,1,2.8558976857518692e-06,"CHEMY_XP_007068261.1,CHEMY_XP_007068263.2,CHEMY_XP_027686202.1",8.653283012534948e-06,0.3300363205057411,WNTblock,not_para
wnt,Lophotrochozoan,EUPSC,observed,18,1,3.367843626978987e-06,"EUPSC_cluster_15607,EUPSC_cluster_9339,EUPSC_cluster_7284,EUPSC_cluster_23857,EUPSC_cluster_23856,EUPSC_cluster_486",4.582191590979844e-06,0.7349853361890563,WNTblock,para
wnt,Vertebrate,CALMI,observed,8,1,1.253589825409126e-05,"CALMI_XP_007892915.1,CALMI_XP_007892882.1,CALMI_XP_007892892.1,CALMI_XP_007892902.1",1.83273739506483e-05,0.6839986071025644,WNTblock,not_para
wnt,Vertebrate,CALMI,observed,6,1,8.078180632158026e-06,"CALMI_XP_007888714.1,CALMI_XP_007888715.1,CALMI_XP_007888717.1",1.83273739506483e-05,0.44077131038581085,WNTblock,not_para
wnt,Vertebrate,CALMI,observed,7,1,8.84034836024167e-06,"CALMI_XP_007896686.1,CALMI_XP_007896685.1,CALMI_XP_007896697.1,CALMI_XP_007896693.1,CALMI_XP_007896699.1",1.83273739506483e-05,0.48235761348280654,WNTblock,not_para
wnt,Vertebrate,LEPOC,observed,36,1,9.148494706680963e-06,"LEPOC_XP_006631191.1,LEPOC_XP_006631113.2,LEPOC_XP_015203548.1,LEPOC_XP_015203549.1",1.984505325800799e-05,0.46099622851802174,WNTblock,para
wnt,Vertebrate,LEPOC,observed,37,1,6.863694744039953e-06,"LEPOC_XP_015208510.1,LEPOC_XP_006633770.1,LEPOC_XP_015208568.1,LEPOC_XP_015208521.1,LEPOC_XP_015208527.1,LEPOC_XP_015208543.1",1.984505325800799e-05,0.3458642642478309,WNTblock,not_para
wnt,Vertebrate,XENTR,observed,53,1,1.2867197653023149e-05,"XENTR_XP_012814299.1,XENTR_XP_012815100.1,XENTR_XP_012815101.1",1.4708430116101749e-05,0.8748178800494181,WNTblock,not_para
wnt,Vertebrate,HOMSA,observed,26,1,5.174123362389956e-06,"HOMSA_NP_057617.3,HOMSA_XP_016874541.1,HOMSA_NP_689654.1,HOMSA_XP_024304971.1,HOMSA_NP_758952.4,HOMSA_NP_689853.3,HOMSA_XP_016875415.1",6.055763996201931e-06,0.8544129800360575,WNTblock,not_para
wnt,Vertebrate,HOMSA,observed,27,1,3.177198390939647e-06,"HOMSA_NP_060873.4,HOMSA_XP_011532396.1,HOMSA_NP_060868.2,HOMSA_XP_016862616.1,HOMSA_XP_016861627.1",6.055763996201931e-06,0.5246569042208927,WNTblock,not_para
