node,taxon,species,random,block_id,iteration,density,acc_ls,total_density,density_ratio,multi_sp,para
hox,Ecdysozoan,ANOGA,observed,3,1,8.698576912817063e-06,"ANOGA_AGAP004659-PA,ANOGA_AGAP013157-PA,ANOGA_AGAP004660-PA,ANOGA_AGAP004661-PA,ANOGA_AGAP004662-PB,ANOGA_AGAP004664-PA",4.7640311757672884e-05,0.18258858080239326,hox,not_para
hox,Ecdysozoan,ANOGA,observed,4,1,1.3055682485801945e-05,"ANOGA_AGAP004646-PA,ANOGA_AGAP004647-PA,ANOGA_AGAP004648-PA,ANOGA_AGAP004649-PA",4.7640311757672884e-05,0.27404695737951834,hox,not_para
hox,Vertebrate,HIPCO,observed,31,1,0.00015527468091053074,"HIPCO_XP_019741866.1,HIPCO_XP_019741869.1,HIPCO_XP_019741865.1,HIPCO_XP_019741718.1,HIPCO_XP_019741715.1",4.2883822974444644e-05,3.620821795740136,hox,not_para
hox,Vertebrate,HIPCO,observed,29,1,0.00012955605458628432,"HIPCO_XP_019719093.1,HIPCO_XP_019719091.1,HIPCO_XP_019719089.1,HIPCO_XP_019719096.1,HIPCO_XP_019719095.1,HIPCO_XP_019719098.1,HIPCO_XP_019719090.1,HIPCO_XP_019719097.1,HIPCO_XP_019718990.1",4.2883822974444644e-05,3.0210938671090366,hox,not_para
hox,Vertebrate,HIPCO,observed,30,1,0.00013353809174066904,"HIPCO_XP_019713178.1,HIPCO_XP_019713179.1,HIPCO_XP_019713177.1,HIPCO_XP_019713135.1,HIPCO_XP_019713193.1,HIPCO_XP_019713192.1",4.2883822974444644e-05,3.1139502609234984,hox,not_para
hox,Vertebrate,HIPCO,observed,32,1,0.00027915416288645404,"HIPCO_XP_019743338.1,HIPCO_XP_019743443.1,HIPCO_XP_019743438.1,HIPCO_XP_019743444.1",4.2883822974444644e-05,6.50954470763504,hox,not_para
hox,Vertebrate,HIPCO,observed,35,1,0.00012138868657441128,"HIPCO_XP_019751132.1,HIPCO_XP_019751235.1,HIPCO_XP_019751232.1,HIPCO_XP_019751185.1,HIPCO_XP_019751188.1,HIPCO_XP_019751191.1,HIPCO_XP_019751189.1,HIPCO_XP_019751192.1,HIPCO_XP_019751186.1",4.2883822974444644e-05,2.830640510915953,hox,not_para
hox,Vertebrate,HIPCO,observed,34,1,7.056001128960181e-05,"HIPCO_XP_019719544.1,HIPCO_XP_019719540.1,HIPCO_XP_019719523.1",4.2883822974444644e-05,1.645375957541145,hox,not_para
hox,Vertebrate,HIPCO,observed,33,1,4.841833440929632e-05,"HIPCO_XP_019714147.1,HIPCO_XP_019714144.1,HIPCO_XP_019714209.1,HIPCO_XP_019714176.1,HIPCO_XP_019714150.1,HIPCO_XP_019714177.1,HIPCO_XP_019714168.1,HIPCO_XP_019714175.1,HIPCO_XP_019714148.1",4.2883822974444644e-05,1.1290582567265472,hox,not_para
hox,Ecdysozoan,PARTE,observed,63,1,5.125062924383683e-06,"PARTE_XP_015930590.1,PARTE_XP_015921999.1,PARTE_NP_001310751.1,PARTE_NP_001310750.1,PARTE_XP_015921993.1,PARTE_NP_001310749.1",1.2869136515414792e-05,0.3982445067891561,hox,not_para
hox,Ecdysozoan,PARTE,observed,64,1,3.1430994822417128e-06,"PARTE_XP_015930562.1,PARTE_XP_015930560.1,PARTE_XP_021004342.1,PARTE_XP_015917912.1,PARTE_XP_021004339.1,PARTE_XP_015913685.1",1.2869136515414792e-05,0.2442354604348841,hox,not_para
hox,Ecdysozoan,PARTE,observed,65,1,6.90921464684413e-06,"PARTE_XP_015909180.1,PARTE_XP_015909179.1,PARTE_NP_001310738.1",1.2869136515414792e-05,0.5368825358693022,hox,not_para
hox,Ambulacrarian,STRPU,observed,69,1,2.3363562188410957e-05,"STRPU_SPU_005171-tr,STRPU_SPU_002634-tr,STRPU_SPU_021309-tr,STRPU_SPU_002633-tr,STRPU_SPU_002630-tr,STRPU_SPU_002632-tr,STRPU_SPU_002631-tr,STRPU_SPU_000388-tr,STRPU_SPU_027568-tr,STRPU_SPU_012252-tr,STRPU_SPU_017352-tr",2.7708701626201613e-05,0.8431850219325381,hox,not_para
hox,Vertebrate,MAYZE,observed,52,1,0.00020444671607462305,"MAYZE_XP_004565906.1,MAYZE_XP_004565917.1,MAYZE_XP_004565916.1,MAYZE_XP_004565915.1",2.703435867611297e-05,7.562477013936645,hox,not_para
hox,Vertebrate,MAYZE,observed,51,1,0.00014769594328475777,"MAYZE_XP_004557823.2,MAYZE_XP_004557827.1,MAYZE_XP_024661233.1,MAYZE_XP_004557822.1,MAYZE_XP_004557821.1,MAYZE_XP_004557820.1",2.703435867611297e-05,5.4632678753078405,hox,not_para
hox,Vertebrate,MAYZE,observed,53,1,0.00014930387070284795,"MAYZE_XP_004541541.1,MAYZE_XP_004541540.1,MAYZE_XP_004541539.2,MAYZE_XP_004541538.2",2.703435867611297e-05,5.52274505534211,hox,not_para
hox,Vertebrate,MAYZE,observed,56,1,4.3321072157153104e-05,"MAYZE_XP_004568702.1,MAYZE_XP_004568701.1,MAYZE_XP_004568696.1,MAYZE_XP_004568698.1,MAYZE_XP_004568699.3,MAYZE_XP_004568700.1,MAYZE_XP_004568690.1,MAYZE_XP_004568691.1,MAYZE_XP_004568689.1",2.703435867611297e-05,1.602444972938483,hox,not_para
hox,Vertebrate,MAYZE,observed,54,1,0.00010539427038421002,"MAYZE_XP_004558972.1,MAYZE_XP_012776654.1,MAYZE_XP_004558864.1,MAYZE_XP_004558859.1,MAYZE_XP_004558860.1,MAYZE_XP_004558862.1,MAYZE_XP_004558863.1,MAYZE_XP_004558856.1,MAYZE_XP_004558855.1,MAYZE_XP_004558854.1,MAYZE_XP_004558853.1",2.703435867611297e-05,3.8985304459001027,hox,not_para
hox,Vertebrate,MAYZE,observed,55,1,0.00013319835899621717,"MAYZE_XP_004547910.1,MAYZE_XP_012773727.2,MAYZE_XP_012773722.1,MAYZE_XP_004547906.1,MAYZE_XP_004547907.1,MAYZE_XP_004547908.1,MAYZE_XP_004547909.1,MAYZE_XP_004547905.1,MAYZE_XP_004547903.2,MAYZE_XP_004547902.1",2.703435867611297e-05,4.927002729822796,hox,not_para
hox,Lophotrochozoan,MIZYE,observed,57,1,6.070120933363867e-06,"MIZYE_PY_T04170,MIZYE_PY_T04171,MIZYE_PY_T04172,MIZYE_PY_T04173,MIZYE_PY_T04174,MIZYE_PY_T04175,MIZYE_PY_T04176,MIZYE_PY_T04177,MIZYE_PY_T04178,MIZYE_PY_T04179,MIZYE_PY_T04180",2.462888834449903e-05,0.2464634557783301,hox,not_para
hox,Cnidarian,ACRMI,observed,1,1,6.766764659443772e-05,"ACRMI_XP_029208515.1,ACRMI_XP_029208434.1,ACRMI_XP_029207044.1,ACRMI_XP_029207033.1,ACRMI_XP_029207020.1",6.132959478194254e-05,1.1033441005933615,hox,not_para
hox,Vertebrate,GALGA,observed,26,1,0.00010472799284041358,"GALGA_XP_003640745.1,GALGA_NP_990481.1,GALGA_NP_001336689.1,GALGA_NP_001025517.1,GALGA_NP_001305348.1,GALGA_NP_001026158.1,GALGA_NP_989926.1,GALGA_NP_001292153.1,GALGA_NP_001292574.1,GALGA_NP_989950.1,GALGA_NP_989470.1",1.6392497299663653e-05,6.388775970245996,hox,not_para
hox,Vertebrate,GALGA,observed,24,1,7.266737719213255e-05,"GALGA_XP_001235166.4,GALGA_XP_426957.3,GALGA_XP_428250.2,GALGA_NP_001292189.1,GALGA_NP_001264211.1,GALGA_NP_990224.1,GALGA_XP_015155838.1,GALGA_XP_015155813.1,GALGA_XP_015155814.1",1.6392497299663653e-05,4.432965634444457,hox,not_para
hox,Vertebrate,GALGA,observed,25,1,0.00013776571562400982,"GALGA_XP_004942781.1,GALGA_XP_015145072.1,GALGA_NP_001012293.1,GALGA_XP_015144874.1,GALGA_XP_025008249.1,GALGA_XP_001234539.2,GALGA_NP_989951.1,GALGA_NP_990580.1,GALGA_NP_990765.1",1.6392497299663653e-05,8.404193278521175,hox,not_para
hox,Vertebrate,GALGA,observed,23,1,7.270612185546023e-05,"GALGA_XP_001234927.1,GALGA_XP_015154931.1,GALGA_NP_990242.1,GALGA_XP_015154928.1,GALGA_XP_024999768.1,GALGA_NP_001020526.1,GALGA_XP_015154923.1,GALGA_XP_015154912.1,GALGA_XP_003642840.1,GALGA_NP_001074328.2",1.6392497299663653e-05,4.435329195201517,hox,not_para
hox,Lophotrochozoan,HELRO,observed,28,1,2.8072014073436388e-05,"HELRO_HelroP110662,HELRO_HelroP76830,HELRO_HelroP76537,HELRO_HelroP76525",9.955128465023152e-05,0.2819854527449446,hox,not_para
hox,Lophotrochozoan,HELRO,observed,27,1,4.296516956920256e-05,"HELRO_HelroP127632,HELRO_HelroP90841,HELRO_HelroP116524",9.955128465023152e-05,0.4315882986358091,hox,not_para
hox,Vertebrate,CHEMY,observed,11,1,7.679705099324186e-05,"CHEMY_XP_007065860.2,CHEMY_XP_007065861.1,CHEMY_XP_007065862.1,CHEMY_XP_007065863.1,CHEMY_XP_007065864.1,CHEMY_XP_007065865.1,CHEMY_XP_027683903.1,CHEMY_XP_007065866.1,CHEMY_XP_027683912.1",8.653283012534947e-06,8.874903418967738,hox,not_para
hox,Vertebrate,CHEMY,observed,12,1,0.00010361034973202597,"CHEMY_XP_007053717.2,CHEMY_XP_007053716.2,CHEMY_XP_007053715.2,CHEMY_XP_027682096.1,CHEMY_XP_007053714.1,CHEMY_XP_007053712.1,CHEMY_XP_007053711.1,CHEMY_XP_027682081.1,CHEMY_XP_027682058.1,CHEMY_XP_007053718.1,CHEMY_XP_007053719.1",8.653283012534947e-06,11.97353069140792,hox,not_para
hox,Vertebrate,CHEMY,observed,14,1,5.835974111618841e-05,"CHEMY_XP_007062082.1,CHEMY_XP_007061985.1,CHEMY_XP_007061986.1,CHEMY_XP_007061988.1,CHEMY_XP_007061991.1,CHEMY_XP_007061990.1,CHEMY_XP_007061989.1,CHEMY_XP_007061994.1,CHEMY_XP_007061995.1,CHEMY_XP_007061996.1",8.653283012534947e-06,6.744231181581582,hox,not_para
hox,Vertebrate,CHEMY,observed,13,1,9.460638487979731e-05,"CHEMY_XP_027678737.1,CHEMY_XP_007060577.1,CHEMY_XP_007060578.1,CHEMY_XP_027678749.1,CHEMY_XP_007060579.1,CHEMY_XP_007060580.1,CHEMY_XP_007060581.1,CHEMY_XP_007060583.1,CHEMY_XP_007060584.1",8.653283012534947e-06,10.933004819413934,hox,not_para
hox,Vertebrate,XENTR,observed,71,1,3.584589134393416e-05,"XENTR_XP_002936696.1,XENTR_XP_002936684.1,XENTR_XP_002936695.1,XENTR_XP_004911991.1,XENTR_NP_001006787.1,XENTR_XP_004911990.1,XENTR_NP_001258236.1,XENTR_XP_002936692.1,XENTR_XP_002936693.1,XENTR_XP_002936691.1",1.4708430116101749e-05,2.43709838922188,hox,not_para
hox,Vertebrate,XENTR,observed,72,1,4.616982801739063e-05,"XENTR_XP_002935723.1,XENTR_XP_002935721.1,XENTR_XP_012826755.1,XENTR_NP_001135589.1,XENTR_XP_002935734.1,XENTR_NP_001016678.1",1.4708430116101749e-05,3.1390044792643894,hox,not_para
hox,Vertebrate,XENTR,observed,74,1,0.00010296222316032249,"XENTR_XP_002933431.1,XENTR_XP_004915452.1,XENTR_XP_002933440.2,XENTR_XP_004915455.1,XENTR_XP_002933441.2,XENTR_NP_001011405.1,XENTR_XP_004915454.1,XENTR_NP_001120901.1,XENTR_XP_004915456.1,XENTR_NP_001008017.1",1.4708430116101749e-05,7.0002184017998434,hox,not_para
hox,Vertebrate,XENTR,observed,73,1,8.809710258418168e-05,"XENTR_XP_004918719.1,XENTR_XP_002938064.2,XENTR_NP_001015971.1,XENTR_NP_001116487.1,XENTR_NP_001094494.1,XENTR_XP_002938066.1,XENTR_XP_002938071.2,XENTR_XP_002938067.1,XENTR_NP_988879.1",1.4708430116101749e-05,5.989565296145318,hox,not_para
hox,Vertebrate,CALMI,observed,7,1,0.0001125302425026726,"CALMI_XP_007888233.1,CALMI_XP_007888237.1,CALMI_XP_007888236.1,CALMI_XP_007888235.1,CALMI_XP_007888234.1,CALMI_XP_007888238.1,CALMI_XP_007888239.1,CALMI_XP_007888247.1,CALMI_XP_007888241.1,CALMI_XP_007888242.1,CALMI_XP_007888249.1,CALMI_XP_007888250.1",1.83273739506483e-05,6.140009081808037,hox,not_para
hox,Vertebrate,CALMI,observed,8,1,6.4100322832535e-05,"CALMI_XP_007907843.1,CALMI_XP_007907845.1,CALMI_XP_007907844.1,CALMI_XP_007907847.1,CALMI_XP_007907849.1,CALMI_XP_007907848.1,CALMI_XP_007907851.1,CALMI_XP_007907852.1,CALMI_XP_007907850.1,CALMI_XP_007907853.1,CALMI_XP_007907858.1",1.83273739506483e-05,3.4975181389948973,hox,not_para
